run_id,use_cert_label,seed,epoch_idx,accuracy,loss,nonzero_weights,prob_mass_update,prob_mass_projected,attack__semi,attack__epsilon,attack__use_cert,attack__block_size,attack__epochs,attack__fine_tune_epochs,attack__keep_heuristic,attack__search_space_size,attack__do_synchronize,attack__loss_type,selector__accuracy_drop_selector_mode,selector__n_candidates_k_sample,selector__n_candidates_one_sample,selector__drop_mode,selector__acc_drop_threshold_k_samples,selector__loss_drop_threshold_k_samples,selector__k_samples_batch,selector__training_data_node_cap,selector__tau,selector__score_batch_size,selector__max_sampling_tries,selector__exclude_tried,selector__lp_hit_rate_detour,selector__lp_hit_rate_top_k,selector__lp_hit_rate_out_dir
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,42,0.6494070887565613,-0.3246075510978699,3538.0,820.8460693359375,798.0233764648438,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,43,0.6490118503570557,-0.32249513268470764,3455.0,821.0055541992188,797.9959716796875,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,44,0.6458498239517212,-0.32041633129119873,3375.0,820.860107421875,798.0210571289062,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,45,0.6442687511444092,-0.31841957569122314,3312.0,821.1187133789062,798.02294921875,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,46,0.6430829763412476,-0.3165455758571625,3247.0,821.1697998046875,798.0171508789062,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,47,0.6415019631385803,-0.3143737316131592,3181.0,821.190673828125,797.996826171875,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,48,0.6403161883354187,-0.3121444284915924,3121.0,821.2440185546875,797.9774169921875,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,49,0.6407114863395691,-0.31034931540489197,3043.0,821.1796875,798.0036010742188,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,50,0.6391304135322571,-0.3086298108100891,2981.0,821.3945922851562,797.978515625,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,51,0.6379446387290955,-0.3069063127040863,2922.0,821.2750244140625,798.0044555664062,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
