candidate_set_size,shared_cand_set_size,label_mode,ordering,k,victim_accuracy_drop_mean,victim_accuracy_drop_std,n_seeds
2500,10000,endpoint,random,3170,0.0415810227394104,0.0037434798967698867,5
2500,10000,endpoint,random,3180,0.041660082340240476,0.003585730383422369,5
2500,10000,endpoint,random,3190,0.041501975059509276,0.004021144818131549,5
2500,10000,endpoint,random,3200,0.04110672473907471,0.004098098595509841,5
2500,10000,endpoint,random,3210,0.04086956977844238,0.00481335240847895,5
2500,10000,endpoint,random,3220,0.04079052209854126,0.004916145121996657,5
2500,10000,endpoint,random,3230,0.04079052209854126,0.00430628813826113,5
2500,10000,endpoint,random,3240,0.040395259857177734,0.004518737568823611,5
2500,10000,endpoint,random,3250,0.03952569961547851,0.005168647467397466,5
2500,10000,endpoint,random,3260,0.03936758041381836,0.005409383126866849,5
2500,10000,endpoint,random,3270,0.03984190225601196,0.0057509524679715245,5
2500,10000,endpoint,random,3280,0.03976285457611084,0.005380413390261933,5
2500,10000,endpoint,random,3290,0.03960473537445068,0.005095590764740124,5
2500,10000,endpoint,random,3300,0.03992093801498413,0.0052955409576618566,5
2500,10000,endpoint,random,3310,0.03984189033508301,0.005033899771606465,5
2500,10000,endpoint,random,3320,0.04015811681747437,0.0053658854571275675,5
2500,10000,endpoint,random,3330,0.040711474418640134,0.005652304683902721,5
2500,10000,endpoint,random,3340,0.0407905101776123,0.005268910399176214,5
2500,10000,endpoint,random,3350,0.040395259857177734,0.005254090302589503,5
2500,10000,endpoint,random,3360,0.0406324028968811,0.00542955830235174,5
2500,10000,endpoint,random,3370,0.04015811681747437,0.005718241456366224,5
2500,10000,endpoint,random,3380,0.04039527177810669,0.005239181744175581,5
2500,10000,endpoint,random,3390,0.04055337905883789,0.0053366857825445395,5
2500,10000,endpoint,random,3400,0.04110672473907471,0.005835874316198213,5
2500,10000,endpoint,random,3410,0.04094860553741455,0.0056839829652401575,5
2500,10000,endpoint,random,3420,0.04079052209854126,0.00531321400738247,5
2500,10000,endpoint,random,3430,0.040474307537078855,0.005336681368017756,5
2500,10000,endpoint,random,3440,0.040316224098205566,0.005526516112379714,5
2500,10000,endpoint,random,3450,0.04039527177810669,0.005415151776565681,5
2500,10000,endpoint,random,3460,0.040474307537078855,0.005704582200152273,5
2500,10000,endpoint,random,3470,0.04086956977844238,0.00506638284036682,5
2500,10000,endpoint,random,3480,0.04086956977844238,0.005277814755234957,5
2500,10000,endpoint,random,3490,0.041501975059509276,0.0052659704751634425,5
2500,10000,endpoint,random,3500,0.041660094261169435,0.004973000666888339,5
2500,10000,endpoint,random,3510,0.0423715353012085,0.005231731122001325,5
2500,10000,endpoint,random,3520,0.04316204786300659,0.005805029233291635,5
2500,10000,endpoint,random,3530,0.04379446506500244,0.005675752182455851,5
2500,10000,endpoint,random,3540,0.04355731010437012,0.00566196296180829,5
2500,10000,endpoint,random,3550,0.044189727306365965,0.005613471825001877,5
2500,10000,endpoint,random,3560,0.044110679626464845,0.0058865360053220505,5
2500,10000,endpoint,random,3570,0.044110667705535886,0.005919604472807388,5
2500,10000,endpoint,random,3580,0.044110679626464845,0.006395357356586144,5
2500,10000,endpoint,random,3590,0.043873512744903566,0.006317930359580099,5
2500,10000,endpoint,random,3600,0.0437944769859314,0.007011754163304938,5
2500,10000,endpoint,random,3610,0.04332015514373779,0.006676191480773575,5
2500,10000,endpoint,random,3620,0.04316204786300659,0.006675034861157111,5
2500,10000,endpoint,random,3630,0.042924904823303224,0.006253280530432931,5
2500,10000,endpoint,random,3640,0.043003952503204344,0.005536423620818399,5
2500,10000,endpoint,random,3650,0.043003952503204344,0.005386215909867514,5
2500,10000,endpoint,random,3660,0.04316204786300659,0.00566885667385582,5
2500,10000,endpoint,random,3670,0.04308300018310547,0.0056867409666798005,5
