candidate_set_size,shared_cand_set_size,label_mode,ordering,k,victim_accuracy_drop_mean,victim_accuracy_drop_std,n_seeds
2500,10000,endpoint,random,340,0.010588240623474122,0.003104397699896495,5
2500,10000,endpoint,random,350,0.011122989654541015,0.003673923965660575,5
2500,10000,endpoint,random,360,0.012192511558532714,0.0043673893227516025,5
2500,10000,endpoint,random,370,0.012406408786773682,0.004559609525350382,5
2500,10000,endpoint,random,380,0.011764717102050782,0.004615700243071674,5
2500,10000,endpoint,random,390,0.012513351440429688,0.004354272284103205,5
2500,10000,endpoint,random,400,0.012620306015014649,0.0048217560541773405,5
2500,10000,endpoint,random,410,0.013582885265350342,0.004483704457670568,5
2500,10000,endpoint,random,420,0.013368964195251465,0.005414044942738411,5
2500,10000,endpoint,random,430,0.013262033462524414,0.005326175770054249,5
2500,10000,endpoint,random,440,0.014224588871002197,0.004880707760853124,5
2500,10000,endpoint,random,450,0.015187156200408936,0.0035592876819254427,5
2500,10000,endpoint,random,460,0.015935826301574706,0.0047890247015913495,5
2500,10000,endpoint,random,470,0.0158288836479187,0.0050392496728340844,5
2500,10000,endpoint,random,480,0.017326211929321288,0.004701634300433772,5
2500,10000,endpoint,random,490,0.017540121078491212,0.004906993345915874,5
2500,10000,endpoint,random,500,0.018181812763214112,0.00426134319494129,5
2500,10000,endpoint,random,510,0.018074870109558105,0.004200517623153816,5
2500,10000,endpoint,random,520,0.018609619140625,0.0036150757881090985,5
2500,10000,endpoint,random,530,0.018930482864379882,0.004836548164651838,5
2500,10000,endpoint,random,540,0.019251346588134766,0.005143163047748255,5
2500,10000,endpoint,random,550,0.019786083698272706,0.005307332591041916,5
2500,10000,endpoint,random,560,0.02064170837402344,0.00498216531412724,5
2500,10000,endpoint,random,570,0.020748662948608398,0.004496443932316466,5
2500,10000,endpoint,random,580,0.0218181848526001,0.004268029952040879,5
2500,10000,endpoint,random,590,0.023743319511413574,0.004337817544522811,5
2500,10000,endpoint,random,600,0.02459893226623535,0.0038001893196755003,5
2500,10000,endpoint,random,610,0.02481282949447632,0.003108960895527712,5
2500,10000,endpoint,random,620,0.024919784069061278,0.003867323025881949,5
2500,10000,endpoint,random,630,0.024919784069061278,0.0032659713049241444,5
2500,10000,endpoint,random,640,0.02438502311706543,0.002844804390057,5
2500,10000,endpoint,random,650,0.024705874919891357,0.0032834369473677587,5
2500,10000,endpoint,random,660,0.025133693218231203,0.0035066538873510977,5
2500,10000,endpoint,random,670,0.025133693218231203,0.002536590776807808,5
2500,10000,endpoint,random,680,0.025133693218231203,0.002479588383989271,5
2500,10000,endpoint,random,690,0.025133681297302247,0.0035872788571671187,5
2500,10000,endpoint,random,700,0.026844918727874756,0.0019428787574841953,5
2500,10000,endpoint,random,710,0.02823529243469238,0.0012194305679863343,5
2500,10000,endpoint,random,720,0.028556156158447265,0.0011088927020043071,5
2500,10000,endpoint,random,730,0.028876996040344237,0.0018906570480556567,5
2500,10000,endpoint,random,740,0.03016042709350586,0.0018754852819440723,5
2500,10000,endpoint,random,750,0.030695199966430664,0.002256147767366423,5
2500,10000,endpoint,random,760,0.03069518804550171,0.002256152712017726,5
2500,10000,endpoint,random,770,0.030267393589019774,0.0022242478889171165,5
2500,10000,endpoint,random,780,0.030802130699157715,0.0016307921475364434,5
2500,10000,endpoint,random,790,0.030802154541015626,0.002991799004224009,5
2500,10000,endpoint,random,800,0.030909085273742677,0.002084885678436586,5
2500,10000,endpoint,random,810,0.03197861909866333,0.002433002838143474,5
2500,10000,endpoint,random,820,0.03219250440597534,0.0015313085867268434,5
2500,10000,endpoint,random,830,0.03165775537490845,0.0023735099477883727,5
2500,10000,endpoint,random,840,0.031229937076568605,0.002349286508606332,5
2500,10000,endpoint,random,850,0.030909085273742677,0.0024329936676673264,5
